equipment_id,sensor_type,min_threshold,max_threshold,warning_low,warning_high,critical_low,critical_high,unit
HVAC001,temperature,10,40,15,30,12,35,°C
HVAC001,pressure,70,130,80,120,75,125,kPa
HVAC001,vibration,0,10,0,5,0,8,mm/s
HVAC001,current,0,30,5,25,2,28,A
HVAC001,voltage,200,260,210,250,205,255,V
HVAC001,humidity,20,80,30,70,25,75,%
HVAC002,temperature,10,40,15,30,12,35,°C
HVAC002,pressure,70,130,80,120,75,125,kPa
HVAC002,vibration,0,10,0,5,0,8,mm/s
HVAC002,current,0,30,5,25,2,28,A
HVAC002,voltage,200,260,210,250,205,255,V
HVAC002,humidity,20,80,30,70,25,75,%
HVAC010,temperature,10,40,15,30,12,35,°C
HVAC010,pressure,70,130,80,120,75,125,kPa
HVAC010,vibration,0,10,0,5,0,8,mm/s
HVAC010,current,0,30,5,25,2,28,A
HVAC010,voltage,200,260,210,250,205,255,V
HVAC010,humidity,20,80,30,70,25,75,%
HVAC018,temperature,10,40,15,30,12,35,°C
HVAC018,pressure,70,130,80,120,75,125,kPa
HVAC018,vibration,0,10,0,5,0,8,mm/s
HVAC018,current,0,30,5,25,2,28,A
HVAC018,voltage,200,260,210,250,205,255,V
HVAC018,humidity,20,80,30,70,25,75,%
PUMP003,temperature,5,85,10,80,8,82,°C
PUMP003,pressure,100,700,120,650,110,680,kPa
PUMP003,vibration,0,15,0,10,0,12,mm/s
PUMP003,flow,5,50,8,45,6,48,m³/h
PUMP003,current,0,50,5,45,3,48,A
PUMP003,voltage,380,440,390,430,385,435,V
PUMP011,temperature,5,85,10,80,8,82,°C
PUMP011,pressure,100,700,120,650,110,680,kPa
PUMP011,vibration,0,15,0,10,0,12,mm/s
PUMP011,flow,5,50,8,45,6,48,m³/h
PUMP011,current,0,50,5,45,3,48,A
PUMP011,voltage,380,440,390,430,385,435,V
PUMP019,temperature,5,85,10,80,8,82,°C
PUMP019,pressure,100,700,120,650,110,680,kPa
PUMP019,vibration,0,15,0,10,0,12,mm/s
PUMP019,flow,5,50,8,45,6,48,m³/h
PUMP019,current,0,50,5,45,3,48,A
PUMP019,voltage,380,440,390,430,385,435,V
TURBINE004,temperature,20,600,30,580,25,590,°C
TURBINE004,pressure,500,3500,600,3400,550,3450,kPa
TURBINE004,vibration,0,20,0,15,0,18,mm/s
TURBINE004,flow,100,500,120,480,110,490,m³/h
TURBINE004,speed,2900,3200,2950,3150,2930,3180,RPM
TURBINE004,oil_pressure,100,500,120,480,110,490,kPa
TURBINE004,oil_temperature,30,90,40,80,35,85,°C
TURBINE012,temperature,20,600,30,580,25,590,°C
TURBINE012,pressure,500,3500,600,3400,550,3450,kPa
TURBINE012,vibration,0,20,0,15,0,18,mm/s
TURBINE012,flow,100,500,120,480,110,490,m³/h
TURBINE012,speed,2900,3200,2950,3150,2930,3180,RPM
TURBINE012,oil_pressure,100,500,120,480,110,490,kPa
TURBINE012,oil_temperature,30,90,40,80,35,85,°C
TURBINE020,temperature,20,600,30,580,25,590,°C
TURBINE020,pressure,500,3500,600,3400,550,3450,kPa
TURBINE020,vibration,0,20,0,15,0,18,mm/s
TURBINE020,flow,100,500,120,480,110,490,m³/h
TURBINE020,speed,2900,3200,2950,3150,2930,3180,RPM
TURBINE020,oil_pressure,100,500,120,480,110,490,kPa
TURBINE020,oil_temperature,30,90,40,80,35,85,°C
MOTOR005,temperature,20,120,30,110,25,115,°C
MOTOR005,vibration,0,15,0,10,0,12,mm/s
MOTOR005,current,0,100,10,90,5,95,A
MOTOR005,voltage,380,440,390,430,385,435,V
MOTOR005,speed,1400,1500,1420,1480,1410,1490,RPM
MOTOR005,power_factor,0.7,1,0.8,0.98,0.75,0.99,None
MOTOR013,temperature,20,120,30,110,25,115,°C
MOTOR013,vibration,0,15,0,10,0,12,mm/s
MOTOR013,current,0,100,10,90,5,95,A
MOTOR013,voltage,380,440,390,430,385,435,V
MOTOR013,speed,1400,1500,1420,1480,1410,1490,RPM
MOTOR013,power_factor,0.7,1,0.8,0.98,0.75,0.99,None
EXCHANGER006,temperature_hot_in,50,250,60,240,55,245,°C
EXCHANGER006,temperature_hot_out,30,150,40,140,35,145,°C
EXCHANGER006,temperature_cold_in,5,30,8,25,6,28,°C
EXCHANGER006,temperature_cold_out,15,80,20,75,18,78,°C
EXCHANGER006,pressure_hot,100,600,120,550,110,580,kPa
EXCHANGER006,pressure_cold,100,600,120,550,110,580,kPa
EXCHANGER006,flow_hot,10,100,15,90,12,95,m³/h
EXCHANGER006,flow_cold,10,100,15,90,12,95,m³/h
EXCHANGER014,temperature_hot_in,50,250,60,240,55,245,°C
EXCHANGER014,temperature_hot_out,30,150,40,140,35,145,°C
EXCHANGER014,temperature_cold_in,5,30,8,25,6,28,°C
EXCHANGER014,temperature_cold_out,15,80,20,75,18,78,°C
EXCHANGER014,pressure_hot,100,600,120,550,110,580,kPa
EXCHANGER014,pressure_cold,100,600,120,550,110,580,kPa
EXCHANGER014,flow_hot,10,100,15,90,12,95,m³/h
EXCHANGER014,flow_cold,10,100,15,90,12,95,m³/h
COMPRESSOR007,temperature,20,150,30,140,25,145,°C
COMPRESSOR007,pressure_inlet,90,110,95,105,93,108,kPa
COMPRESSOR007,pressure_outlet,600,1000,650,950,630,980,kPa
COMPRESSOR007,vibration,0,15,0,10,0,12,mm/s
COMPRESSOR007,flow,10,100,15,90,12,95,m³/h
COMPRESSOR007,current,0,150,10,140,5,145,A
COMPRESSOR007,voltage,380,440,390,430,385,435,V
COMPRESSOR007,oil_pressure,100,500,120,480,110,490,kPa
COMPRESSOR007,oil_temperature,30,90,40,80,35,85,°C
COMPRESSOR015,temperature,20,150,30,140,25,145,°C
COMPRESSOR015,pressure_inlet,90,110,95,105,93,108,kPa
COMPRESSOR015,pressure_outlet,600,1000,650,950,630,980,kPa
COMPRESSOR015,vibration,0,15,0,10,0,12,mm/s
COMPRESSOR015,flow,10,100,15,90,12,95,m³/h
COMPRESSOR015,current,0,150,10,140,5,145,A
COMPRESSOR015,voltage,380,440,390,430,385,435,V
COMPRESSOR015,oil_pressure,100,500,120,480,110,490,kPa
COMPRESSOR015,oil_temperature,30,90,40,80,35,85,°C
GENERATOR008,temperature,30,120,40,110,35,115,°C
GENERATOR008,voltage,380,440,390,430,385,435,V
GENERATOR008,current,0,500,50,450,30,480,A
GENERATOR008,frequency,49,51,49.5,50.5,49.3,50.8,Hz
GENERATOR008,power_factor,0.7,1,0.8,0.98,0.75,0.99,None
GENERATOR008,vibration,0,15,0,10,0,12,mm/s
GENERATOR008,bearing_temperature,30,90,40,80,35,85,°C
GENERATOR016,temperature,30,120,40,110,35,115,°C
GENERATOR016,voltage,380,440,390,430,385,435,V
GENERATOR016,current,0,500,50,450,30,480,A
GENERATOR016,frequency,49,51,49.5,50.5,49.3,50.8,Hz
GENERATOR016,power_factor,0.7,1,0.8,0.98,0.75,0.99,None
GENERATOR016,vibration,0,15,0,10,0,12,mm/s
GENERATOR016,bearing_temperature,30,90,40,80,35,85,°C
BOILER009,temperature,100,250,120,230,110,240,°C
BOILER009,pressure,100,1600,200,1500,150,1550,kPa
BOILER009,water_level,40,80,45,75,43,78,%
BOILER009,flue_gas_temperature,120,220,130,210,125,215,°C
BOILER009,feed_water_temperature,60,110,70,100,65,105,°C
BOILER009,steam_flow,5,50,8,45,6,48,t/h
BOILER009,oxygen_content,2,8,3,7,2.5,7.5,%
BOILER017,temperature,100,250,120,230,110,240,°C
BOILER017,pressure,100,1600,200,1500,150,1550,kPa
BOILER017,water_level,40,80,45,75,43,78,%
BOILER017,flue_gas_temperature,120,220,130,210,125,215,°C
BOILER017,feed_water_temperature,60,110,70,100,65,105,°C
BOILER017,steam_flow,5,50,8,45,6,48,t/h
BOILER017,oxygen_content,2,8,3,7,2.5,7.5,% 